participant,exp,total_alpha_dB,relative_alpha_dB,channels,Aperiodic_Offset,Aperiodic_Exponent,R_squared,Error,delta_CF_Hz_peak,mean_delta_cf,relative_delta_dB,total_delta_dB,delta_BW_Hz_peak,delta_BW_Hz_sum,theta_CF_Hz_peak,mean_theta_cf,relative_theta_dB,total_theta_dB,theta_BW_Hz_peak,theta_BW_Hz_sum,beta_CF_Hz_peak,mean_beta_cf,relative_beta_dB,total_beta_dB,beta_BW_Hz_peak,beta_BW_Hz_sum,gamma_CF_Hz_peak,mean_gamma_cf,relative_gamma_dB,total_gamma_dB,gamma_BW_Hz_peak,gamma_BW_Hz_sum
sub-001,base,-0.6725205844364985,1.0883217952081492,Fp1,-10.225319,1.86946,0.994434,0.025689,0,0,0,0,0,0,6.365578,6.365578,1.620464,1.620464,1.478246,1.478246,23.679045,21.215355,1.069517,2.035811,1.400306,3.513808,38.628458,36.637755,2.228476,3.51395,2.405262,4.447556
sub-001,base,-0.6725205844364985,1.0883217952081492,Fz,-12.814067,-0.370689,0.561277,0.084571,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.124502,20.633658,3.95033,6.805831,3.33541,7.6969,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,F3,-12.08732,-0.135221,0.39411,0.090586,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.486749,20.486749,3.581974,3.581974,6.772498,6.772498,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,F7,-10.034906,1.716854,0.989942,0.031243,0,0,0,0,0,0,6.35372,6.35372,1.745566,1.745566,1.721904,1.721904,0.0,0.0,0.0,0.0,0.0,0.0,38.228822,35.320363,2.340702,5.386843,3.58835,6.887977
sub-001,base,-0.6725205844364985,1.0883217952081492,FT9,-9.490399,2.06493,0.994931,0.027053,0,0,0,0,0,0,6.627678,6.627678,1.016377,1.016377,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,38.83947,36.861907,2.560917,3.403194,3.073874,4.473874
sub-001,base,-0.6725205844364985,1.0883217952081492,FC5,-11.552562,0.127292,0.647238,0.079704,0,0,0,0,0,0,5.9945,5.9945,2.910369,2.910369,2.317815,2.317815,20.120873,20.120873,3.62165,3.62165,4.843762,4.843762,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,C3,-10.259299,1.757439,0.980977,0.053183,0,0,0,0,0,0,6.897821,6.897821,1.260352,1.260352,1.4,1.4,15.555706,16.894953,1.496474,2.858166,3.204679,4.950956,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,T7,-10.565684,0.829103,0.964234,0.025901,0,0,0,0,0,0,6.245136,6.245136,1.36758,1.36758,1.526562,1.526562,16.656182,16.656182,2.79241,2.79241,2.815548,2.815548,31.67594,34.674885,3.066829,5.901673,4.222672,10.581565
sub-001,base,-0.6725205844364985,1.0883217952081492,TP9,-9.421741,2.040943,0.992191,0.034117,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.178823,35.000121,2.431647,6.10775,3.93962,8.266627
sub-001,base,-0.6725205844364985,1.0883217952081492,CP5,-9.933335,1.662226,0.989156,0.030942,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.047449,16.047449,1.844645,1.844645,2.654166,2.654166,32.647422,35.329239,2.946148,5.836709,1.4,6.713342
sub-001,base,-0.6725205844364985,1.0883217952081492,CP1,-9.859399,2.144221,0.993057,0.035223,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.798708,16.798708,1.764375,1.764375,4.606276,4.606276,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,Pz,-9.518478,2.325985,0.996426,0.026479,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.463119,19.261882,2.259366,4.691841,3.8993,8.995133,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,P3,-9.612908,2.120752,0.992762,0.035668,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.248453,15.248453,2.402179,2.402179,5.702784,5.702784,37.964446,37.964446,0.940968,0.940968,5.392046,5.392046
sub-001,base,-0.6725205844364985,1.0883217952081492,P7,-9.37024,2.120494,0.993971,0.034909,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.163254,15.163254,1.861593,1.861593,3.561852,3.561852,33.011579,35.507917,1.964477,3.099669,1.4,7.900296
sub-001,base,-0.6725205844364985,1.0883217952081492,O1,-9.161917,2.423156,0.993301,0.043756,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.883025,19.883025,1.349756,1.349756,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,Oz,-9.148929,2.462194,0.996304,0.031712,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.930893,20.234962,1.800398,3.532209,6.695509,9.025774,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,O2,-9.157999,2.421697,0.99519,0.038237,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.914284,20.914284,1.350879,1.350879,5.95682,5.95682,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,P4,-9.431408,2.320475,0.995688,0.032349,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.196364,18.196364,1.358006,1.358006,7.267305,7.267305,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,P8,-9.157734,2.380754,0.995115,0.03826,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,TP10,-9.140262,2.414388,0.996937,0.025062,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.094846,16.840655,1.535261,2.33445,1.4,3.914565,39.893617,36.257952,1.831585,3.453904,7.230947,8.630947
sub-001,base,-0.6725205844364985,1.0883217952081492,CP6,-9.525448,2.1756,0.993586,0.033717,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.651777,34.022294,2.644496,5.147781,2.105876,6.305876
sub-001,base,-0.6725205844364985,1.0883217952081492,CP2,-9.700164,2.312621,0.994816,0.026781,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.09997,18.678866,1.447778,3.712752,2.723063,5.523063,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,Cz,-11.021183,1.68463,0.996022,0.021641,0,0,0,0,0,0,6.403248,6.403248,3.717369,3.717369,2.709309,2.709309,17.551608,23.361394,1.148661,2.002274,2.920494,4.320494,32.196065,34.676242,2.044547,2.690577,2.009748,5.833486
sub-001,base,-0.6725205844364985,1.0883217952081492,C4,-9.918153,2.113827,0.99635,0.025934,0,0,0,0,0,0,6.66714,6.66714,1.394626,1.394626,1.4,1.4,17.262689,17.262689,1.49872,1.49872,5.407634,5.407634,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,T8,-9.667569,1.972591,0.983015,0.048975,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,FT10,-9.329735,2.295591,0.994722,0.031927,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,14.941673,16.568391,0.678737,1.132429,1.4,2.8,36.632933,36.632933,1.049953,1.049953,8.0,8.0
sub-001,base,-0.6725205844364985,1.0883217952081492,FC6,-10.319242,1.524646,0.948723,0.053356,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.218838,25.516866,0.912391,1.359437,3.23206,4.63206,36.009574,36.009574,1.965154,1.965154,7.076091,7.076091
sub-001,base,-0.6725205844364985,1.0883217952081492,FC2,-11.53205,1.265518,0.989293,0.030362,0,0,0,0,0,0,6.357583,6.357583,4.157848,4.157848,1.925566,1.925566,21.509301,21.227665,1.600679,3.997092,1.4,5.992508,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,base,-0.6725205844364985,1.0883217952081492,F4,-11.174707,0.963159,0.819676,0.068435,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,18.614993,20.482604,2.096146,4.105173,1.576361,5.225763,37.736176,34.737257,1.920688,4.952841,2.703745,7.553262
sub-001,base,-0.6725205844364985,1.0883217952081492,F8,-9.755404,2.003224,0.988747,0.037371,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.76995,19.76995,0.666664,0.666664,3.66705,3.66705,36.538663,36.538663,1.6969,1.6969,8.0,8.0
sub-001,base,-0.6725205844364985,1.0883217952081492,Fp2,-10.194033,1.832854,0.98361,0.041104,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.715015,35.272867,2.618258,6.09378,3.83513,7.91181
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,Fp1,-10.102183,1.922103,0.987685,0.045739,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,19.192958,19.192958,0.767546,0.767546,4.851077,4.851077,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,Fz,-12.704778,-0.259651,0.520766,0.093967,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.922192,20.922192,4.157172,4.157172,6.393939,6.393939,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,F3,-12.157983,0.061291,0.928906,0.044796,0,0,0,0,0,0,6.697295,6.697295,5.821488,5.821488,3.500085,3.500085,21.338595,21.338595,4.176925,4.176925,5.195323,5.195323,39.33138,39.33138,1.722419,1.722419,4.521415,4.521415
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,F7,-10.076566,1.64315,0.98891,0.033434,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.668614,24.668614,1.161219,1.161219,1.4,1.4,39.346497,39.346497,1.866701,1.866701,5.397368,5.397368
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,FT9,-9.499064,2.021925,0.995022,0.027717,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.09402,25.09402,0.854692,0.854692,1.4,1.4,38.393872,36.305317,1.874711,2.67221,2.79237,4.19237
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,FC5,-11.595928,0.193023,0.942289,0.034527,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.198568,20.528643,1.785651,3.487045,4.808203,6.208203,0.0,0.0,0.0,0.0,0.0,0.0
sub-001,lowlevel,-1.0531660093824438,1.225781655358988,C3,-9.880834,2.053395,0.992769,0.036565,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.455566,16.455566,1.858155,1.858155,4.950623,4.950623,38.643429,38.643429,0.830305,0.830305,1.4,1.4
