participant,exp,block_cond,block_order,thisN,cueAss,cueHz,motion_direction,prior,response,corr,rt,thresh75,BiasFirst,coh,coh_level,filename,rt_flag,lowCoh_performance,medCoh_performance,highCoh_performance,prior_dic,response_prior
sub-001,base,base,bhl,0.0,highleft,750.0,left,noprior,right,0.0,0.7878350999999384,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,1.0,highleft,750.0,left,noprior,right,0.0,0.8037091000005603,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,3.0,highleft,750.0,right,noprior,right,1.0,0.6044994000003499,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,4.0,highleft,750.0,left,noprior,left,1.0,0.5434618999988743,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,1.0
sub-001,base,base,bhl,5.0,highleft,750.0,left,noprior,right,0.0,0.4830191000000923,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,6.0,highleft,750.0,right,noprior,right,1.0,0.7152900999990379,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,7.0,highleft,750.0,right,noprior,right,1.0,0.6949256999996578,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,8.0,highleft,750.0,left,noprior,left,1.0,0.4952720999990561,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,1.0
sub-001,base,base,bhl,9.0,highleft,750.0,left,noprior,right,0.0,0.866466,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,10.0,highleft,750.0,right,noprior,right,1.0,0.5971705999982078,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,11.0,highleft,750.0,right,noprior,right,1.0,0.5541787000001932,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,12.0,highleft,750.0,left,noprior,left,1.0,0.4918921000007685,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,1.0
sub-001,base,base,bhl,13.0,highleft,750.0,right,noprior,right,1.0,0.5072867999988375,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,14.0,highleft,750.0,right,noprior,left,0.0,0.5342442999990453,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,1.0
sub-001,base,base,bhl,15.0,highleft,750.0,left,noprior,left,1.0,0.9262658999996348,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,1.0
sub-001,base,base,bhl,17.0,highleft,750.0,left,noprior,right,0.0,0.4676593000003777,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,18.0,highleft,750.0,right,noprior,right,1.0,0.8432990999990579,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,19.0,highleft,750.0,left,noprior,right,0.0,0.7717167000009795,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,0.0,highleft,750.0,right,noprior,right,1.0,0.5838058999997884,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,1.0,highleft,750.0,left,noprior,left,1.0,0.5939827000001969,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,1.0
sub-001,base,base,bhl,2.0,highleft,750.0,left,noprior,right,0.0,0.4738562000002275,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,3.0,highleft,750.0,right,noprior,right,1.0,0.6765255999998772,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,4.0,highleft,750.0,right,noprior,right,1.0,0.5136411000003136,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,5.0,highleft,750.0,right,noprior,right,1.0,0.8462122000000818,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,6.0,highleft,750.0,left,noprior,left,1.0,0.6185341000000335,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,1.0
sub-001,base,base,bhl,7.0,highleft,750.0,right,noprior,left,0.0,0.9485971000012796,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,1.0
sub-001,base,base,bhl,8.0,highleft,750.0,left,noprior,left,1.0,0.6672236000013072,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,1.0
sub-001,base,base,bhl,9.0,highleft,750.0,right,noprior,right,1.0,0.5008715000003576,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,10.0,highleft,750.0,left,noprior,right,0.0,0.9078644000001076,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,11.0,highleft,750.0,left,noprior,right,0.0,0.6020829000008234,0.1124,rightfirst,0.1124,medium,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,0.0
sub-001,base,base,bhl,12.0,highleft,750.0,left,noprior,left,1.0,0.6593250000005355,0.1124,rightfirst,0.0562,low,sub-001_RDKdeutsch_highleft,False,0.59,0.68,0.925,noprior,1.0
