participant,exp,Peak #,CF_Hz,PW_log10,PW_dB,BW_Hz,Aperiodic_Offset,Aperiodic_Exponent,R_squared,Error,channels,Channels_Validity
sub-001,base,1,6.365578,0.162046,1.620464,1.478246,-10.225319,1.86946,0.994434,0.025689,Fp1,True
sub-001,base,2,10.220976,0.206755,2.067546,1.747453,-10.225319,1.86946,0.994434,0.025689,Fp1,True
sub-001,base,3,18.751666,0.096629,0.966294,2.113502,-10.225319,1.86946,0.994434,0.025689,Fp1,True
sub-001,base,4,23.679045,0.106952,1.069517,1.400306,-10.225319,1.86946,0.994434,0.025689,Fp1,True
sub-001,base,5,34.647052,0.128547,1.285474,2.042294,-10.225319,1.86946,0.994434,0.025689,Fp1,True
sub-001,base,6,38.628458,0.222848,2.228476,2.405262,-10.225319,1.86946,0.994434,0.025689,Fp1,True
sub-001,base,1,18.124502,0.395033,3.95033,3.33541,-12.814067,,,0.084571,Fz,False
sub-001,base,2,23.142814,0.28555,2.855501,4.36149,-12.814067,,,0.084571,Fz,False
sub-001,base,1,20.486749,0.358197,3.581974,6.772498,-12.08732,,,0.090586,F3,False
sub-001,base,1,6.35372,0.174557,1.745566,1.721904,-10.034906,1.716854,0.989942,0.031243,F7,True
sub-001,base,2,10.202991,0.251695,2.516952,1.688545,-10.034906,1.716854,0.989942,0.031243,F7,True
sub-001,base,3,32.475189,0.123042,1.230422,1.899627,-10.034906,1.716854,0.989942,0.031243,F7,True
sub-001,base,4,35.257077,0.181572,1.815719,1.4,-10.034906,1.716854,0.989942,0.031243,F7,True
sub-001,base,5,38.228822,0.23407,2.340702,3.58835,-10.034906,1.716854,0.989942,0.031243,F7,True
sub-001,base,1,6.627678,0.101638,1.016377,1.4,-9.490399,2.06493,0.994931,0.027053,FT9,True
sub-001,base,2,10.495517,0.2725,2.725004,1.791641,-9.490399,2.06493,0.994931,0.027053,FT9,True
sub-001,base,3,34.884343,0.084228,0.842278,1.4,-9.490399,2.06493,0.994931,0.027053,FT9,True
sub-001,base,4,38.83947,0.256092,2.560917,3.073874,-9.490399,2.06493,0.994931,0.027053,FT9,True
sub-001,base,1,5.9945,0.291037,2.910369,2.317815,-11.552562,0.127292,,0.079704,FC5,False
sub-001,base,2,20.120873,0.362165,3.62165,4.843762,-11.552562,0.127292,,0.079704,FC5,False
sub-001,base,1,6.897821,0.126035,1.260352,1.4,-10.259299,1.757439,0.980977,0.053183,C3,True
sub-001,base,2,8.667873,0.144241,1.442406,1.4,-10.259299,1.757439,0.980977,0.053183,C3,True
sub-001,base,3,12.002553,0.290456,2.904557,1.725332,-10.259299,1.757439,0.980977,0.053183,C3,True
sub-001,base,4,15.555706,0.149647,1.496474,3.204679,-10.259299,1.757439,0.980977,0.053183,C3,True
sub-001,base,5,18.2342,0.136169,1.361692,1.746276,-10.259299,1.757439,0.980977,0.053183,C3,True
sub-001,base,1,6.245136,0.136758,1.36758,1.526562,-10.565684,0.829103,0.964234,0.025901,T7,True
sub-001,base,2,11.113941,0.163546,1.635456,1.4,-10.565684,0.829103,0.964234,0.025901,T7,True
sub-001,base,3,16.656182,0.279241,2.79241,2.815548,-10.565684,0.829103,0.964234,0.025901,T7,True
sub-001,base,4,31.67594,0.306683,3.066829,4.222672,-10.565684,0.829103,0.964234,0.025901,T7,True
sub-001,base,5,37.67383,0.283484,2.834844,6.358893,-10.565684,0.829103,0.964234,0.025901,T7,True
sub-001,base,1,11.093349,0.287819,2.87819,3.271755,-9.421741,2.040943,0.992191,0.034117,TP9,True
sub-001,base,2,32.399123,0.140431,1.404308,2.927007,-9.421741,2.040943,0.992191,0.034117,TP9,True
sub-001,base,3,34.422416,0.22718,2.271796,1.4,-9.421741,2.040943,0.992191,0.034117,TP9,True
sub-001,base,4,38.178823,0.243165,2.431647,3.93962,-9.421741,2.040943,0.992191,0.034117,TP9,True
sub-001,base,1,8.427829,0.184401,1.844013,2.146938,-9.933335,1.662226,0.989156,0.030942,CP5,True
sub-001,base,2,11.504752,0.284278,2.842781,1.48321,-9.933335,1.662226,0.989156,0.030942,CP5,True
sub-001,base,3,16.047449,0.184464,1.844645,2.654166,-9.933335,1.662226,0.989156,0.030942,CP5,True
sub-001,base,4,32.647422,0.294615,2.946148,1.4,-9.933335,1.662226,0.989156,0.030942,CP5,True
sub-001,base,5,38.011056,0.289056,2.89056,5.313342,-9.933335,1.662226,0.989156,0.030942,CP5,True
sub-001,base,1,8.788361,0.224272,2.242721,1.4,-9.859399,2.144221,0.993057,0.035223,CP1,True
sub-001,base,2,11.930109,0.181624,1.816239,1.755112,-9.859399,2.144221,0.993057,0.035223,CP1,True
sub-001,base,3,16.798708,0.176438,1.764375,4.606276,-9.859399,2.144221,0.993057,0.035223,CP1,True
sub-001,base,1,8.894413,0.273148,2.731481,1.420653,-9.518478,2.325985,0.996426,0.026479,Pz,True
sub-001,base,2,11.685264,0.318311,3.183114,1.94646,-9.518478,2.325985,0.996426,0.026479,Pz,True
sub-001,base,3,15.463119,0.225937,2.259366,3.8993,-9.518478,2.325985,0.996426,0.026479,Pz,True
sub-001,base,4,19.243773,0.145209,1.452087,1.4,-9.518478,2.325985,0.996426,0.026479,Pz,True
sub-001,base,5,23.078756,0.098039,0.980388,3.695833,-9.518478,2.325985,0.996426,0.026479,Pz,True
sub-001,base,1,8.927752,0.380103,3.801032,1.819526,-9.612908,2.120752,0.992762,0.035668,P3,True
sub-001,base,2,11.55969,0.309911,3.099115,1.570109,-9.612908,2.120752,0.992762,0.035668,P3,True
sub-001,base,3,15.248453,0.240218,2.402179,5.702784,-9.612908,2.120752,0.992762,0.035668,P3,True
sub-001,base,4,37.964446,0.094097,0.940968,5.392046,-9.612908,2.120752,0.992762,0.035668,P3,True
sub-001,base,1,8.620522,0.366452,3.66452,1.489487,-9.37024,2.120494,0.993971,0.034909,P7,True
sub-001,base,2,11.156137,0.482313,4.82313,2.762029,-9.37024,2.120494,0.993971,0.034909,P7,True
sub-001,base,3,15.163254,0.186159,1.861593,3.561852,-9.37024,2.120494,0.993971,0.034909,P7,True
sub-001,base,4,33.011579,0.196448,1.964477,1.4,-9.37024,2.120494,0.993971,0.034909,P7,True
sub-001,base,5,38.004255,0.113519,1.135192,6.500296,-9.37024,2.120494,0.993971,0.034909,P7,True
sub-001,base,1,11.637149,0.489311,4.893112,4.878778,-9.161917,2.423156,0.993301,0.043756,O1,True
sub-001,base,2,19.883025,0.134976,1.349756,8.0,-9.161917,2.423156,0.993301,0.043756,O1,True
sub-001,base,1,11.736772,0.53459,5.3459,4.205695,-9.148929,2.462194,0.996304,0.031712,Oz,True
sub-001,base,2,16.930893,0.18004,1.800398,6.695509,-9.148929,2.462194,0.996304,0.031712,Oz,True
sub-001,base,3,23.539031,0.173181,1.731811,2.330264,-9.148929,2.462194,0.996304,0.031712,Oz,True
sub-001,base,1,11.94842,0.599003,5.990032,4.331988,-9.157999,2.421697,0.99519,0.038237,O2,True
sub-001,base,2,20.914284,0.135088,1.350879,5.95682,-9.157999,2.421697,0.99519,0.038237,O2,True
sub-001,base,1,8.952295,0.234453,2.344529,1.4,-9.431408,2.320475,0.995688,0.032349,P4,True
