subject,comparison,cluster,p_value,significant,mean_value,cluster_statistic,cluster_size,freq_range,time_range_ms,peak_freq,peak_time_ms
sub-003,lowlevelvshighlevel,0,1.0,False,0.0,40.4681,10,5.0-5.7,624.0-648.0,5.3,636.0
sub-003,lowlevelvshighlevel,1,1.0,False,-0.0,3.9114,1,5.0-5.0,1224.0-1224.0,5.0,1224.0
sub-003,lowlevelvshighlevel,2,0.9999,False,0.0,49.7472,11,5.0-5.3,1380.0-1428.0,5.0,1404.0
sub-003,lowlevelvshighlevel,3,0.4138,False,0.0,743.9982,148,9.0-14.1,1740.0-1992.0,10.9,1860.0
sub-003,lowlevelvshighlevel,4,0.8182,False,0.0,334.5985,54,13.7-16.6,672.0-780.0,15.1,720.0
sub-003,lowlevelvshighlevel,5,0.3673,False,0.0,819.8148,131,14.1-20.9,1812.0-1992.0,16.6,1872.0
sub-003,lowlevelvshighlevel,6,0.9994,False,0.0,69.7619,15,16.1-16.6,1164.0-1248.0,16.1,1200.0
sub-003,lowlevelvshighlevel,7,1.0,False,0.0,3.9082,1,19.6-19.6,720.0-720.0,19.6,720.0
sub-003,lowlevelvshighlevel,8,0.9996,False,0.0,63.1916,15,20.2-21.6,636.0-708.0,20.9,660.0
sub-003,lowlevelvshighlevel,9,0.9998,False,-0.0,53.3302,12,25.4-26.2,1668.0-1752.0,25.4,1704.0
sub-003,lowlevelvshighlevel,10,0.9858,False,-0.0,147.9917,28,30.8-32.9,1200.0-1344.0,30.8,1260.0
sub-003,lowlevelvshighlevel,11,1.0,False,0.0,8.7284,2,34.0-34.0,600.0-612.0,34.0,600.0
sub-003,lowlevelvshighlevel,12,1.0,False,-0.0,3.897,1,35.1-35.1,792.0-792.0,35.1,792.0
sub-003,lowlevelvshighlevel,13,1.0,False,-0.0,27.3778,6,37.5-37.5,1536.0-1596.0,37.5,1572.0
sub-003,lowlevelvshighlevel,14,1.0,False,-0.0,23.259,5,40.0-40.0,1116.0-1164.0,40.0,1140.0
