onset	duration	trial_type	value	sample
0.0	0.001		0	0
106.92	0.001	S_4	4	26730
108.432	0.001	S_8	8	27108
109.224	0.001	R_2	102	27306
110.636	0.001	S_4	4	27659
112.152	0.001	S_8	8	28038
112.96	0.001	R_2	102	28240
114.152	0.001	S_4	4	28538
115.672	0.001	S_8	8	28918
116.744	0.001	R_1	101	29186
118.26	0.001	S_4	4	29565
119.776	0.001	S_16	16	29944
120.384	0.001	R_1	101	30096
121.688	0.001	S_4	4	30422
123.208	0.001	S_8	8	30802
123.748	0.001	R_1	101	30937
125.24	0.001	S_4	4	31310
126.756	0.001	S_8	8	31689
127.24	0.001	R_2	102	31810
128.432	0.001	S_4	4	32108
129.956	0.001	S_16	16	32489
130.668	0.001	R_1	101	32667
131.96	0.001	S_4	4	32990
133.488	0.001	S_16	16	33372
134.184	0.001	R_1	101	33546
135.7	0.001	S_4	4	33925
137.216	0.001	S_8	8	34304
137.712	0.001	R_1	101	34428
138.976	0.001	S_4	4	34744
140.516	0.001	S_8	8	35129
141.38	0.001	R_2	102	35345
142.548	0.001	S_4	4	35637
144.064	0.001	S_16	16	36016
144.664	0.001	R_1	101	36166
146.16	0.001	S_4	4	36540
147.676	0.001	S_16	16	36919
148.232	0.001	R_1	101	37058
149.424	0.001	S_4	4	37356
150.948	0.001	S_8	8	37737
151.44	0.001	R_1	101	37860
152.952	0.001	S_4	4	38238
154.476	0.001	S_16	16	38619
154.984	0.001	R_1	101	38746
156.292	0.001	S_4	4	39073
157.808	0.001	S_16	16	39452
158.344	0.001	R_2	102	39586
160.0	0.001	S_4	4	40000
161.528	0.001	S_8	8	40382
162.456	0.001	R_1	101	40614
164.044	0.001	S_4	4	41011
165.564	0.001	S_16	16	41391
166.616	0.001	R_2	102	41654
167.832	0.001	S_4	4	41958
169.356	0.001	S_8	8	42339
169.824	0.001	R_2	102	42456
171.288	0.001	S_4	4	42822
172.804	0.001	S_16	16	43201
173.648	0.001	R_1	101	43412
175.148	0.001	S_4	4	43787
176.668	0.001	S_8	8	44167
177.44	0.001	R_2	102	44360
181.072	0.001	S_4	4	45268
182.6	0.001	S_16	16	45650
183.184	0.001	R_1	101	45796
184.448	0.001	S_4	4	46112
185.964	0.001	S_8	8	46491
186.56	0.001	R_1	101	46640
188.08	0.001	S_4	4	47020
189.596	0.001	S_8	8	47399
190.072	0.001	R_2	102	47518
191.352	0.001	S_4	4	47838
192.868	0.001	S_16	16	48217
193.544	0.001	R_1	101	48386
195.004	0.001	S_4	4	48751
196.524	0.001	S_16	16	49131
197.04	0.001	R_1	101	49260
198.608	0.001	S_4	4	49652
200.128	0.001	S_16	16	50032
200.976	0.001	R_1	101	50244
202.424	0.001	S_4	4	50606
203.948	0.001	S_8	8	50987
204.568	0.001	R_1	101	51142
206.096	0.001	S_4	4	51524
207.62	0.001	S_16	16	51905
208.568	0.001	R_2	102	52142
209.752	0.001	S_4	4	52438
211.268	0.001	S_8	8	52817
211.936	0.001	R_1	101	52984
213.224	0.001	S_4	4	53306
214.748	0.001	S_16	16	53687
215.248	0.001	R_1	101	53812
216.472	0.001	S_4	4	54118
217.988	0.001	S_8	8	54497
218.896	0.001	R_2	102	54724
220.328	0.001	S_4	4	55082
221.848	0.001	S_8	8	55462
222.448	0.001	R_2	102	55612
224.112	0.001	S_4	4	56028
225.636	0.001	S_8	8	56409
226.296	0.001	R_1	101	56574
227.568	0.001	S_4	4	56892
229.088	0.001	S_16	16	57272
229.976	0.001	R_1	101	57494
231.528	0.001	S_4	4	57882
233.048	0.001	S_8	8	58262
233.776	0.001	R_2	102	58444
235.368	0.001	S_4	4	58842
236.888	0.001	S_16	16	59222
238.056	0.001	R_2	102	59514
239.268	0.001	S_4	4	59817
240.788	0.001	S_8	8	60197
241.432	0.001	R_1	101	60358
242.904	0.001	S_4	4	60726
244.428	0.001	S_16	16	61107
245.28	0.001	R_1	101	61320
246.876	0.001	S_4	4	61719
248.4	0.001	S_8	8	62100
248.832	0.001	R_2	102	62208
250.176	0.001	S_4	4	62544
251.696	0.001	S_16	16	62924
252.32	0.001	R_2	102	63080
255.684	0.001	S_4	4	63921
257.208	0.001	S_8	8	64302
258.056	0.001	R_2	102	64514
259.512	0.001	S_4	4	64878
261.028	0.001	S_8	8	65257
262.304	0.001	R_2	102	65576
263.72	0.001	S_4	4	65930
265.236	0.001	S_8	8	66309
266.872	0.001	R_2	102	66718
268.4	0.001	S_4	4	67100
269.92	0.001	S_8	8	67480
270.568	0.001	R_1	101	67642
271.892	0.001	S_4	4	67973
273.408	0.001	S_8	8	68352
274.128	0.001	R_2	102	68532
275.408	0.001	S_4	4	68852
276.928	0.001	S_8	8	69232
277.424	0.001	R_1	101	69356
278.728	0.001	S_4	4	69682
280.248	0.001	S_16	16	70062
280.816	0.001	R_1	101	70204
282.272	0.001	S_4	4	70568
283.788	0.001	S_16	16	70947
284.376	0.001	R_1	101	71094
285.944	0.001	S_4	4	71486
287.472	0.001	S_8	8	71868
287.976	0.001	R_1	101	71994
289.224	0.001	S_4	4	72306
290.748	0.001	S_8	8	72687
291.544	0.001	R_1	101	72886
293.084	0.001	S_4	4	73271
294.608	0.001	S_16	16	73652
295.208	0.001	R_2	102	73802
296.608	0.001	S_4	4	74152
298.128	0.001	S_16	16	74532
298.592	0.001	R_1	101	74648
299.856	0.001	S_4	4	74964
301.38	0.001	S_8	8	75345
301.952	0.001	R_2	102	75488
303.516	0.001	S_4	4	75879
305.036	0.001	S_16	16	76259
305.568	0.001	R_1	101	76392
307.16	0.001	S_4	4	76790
308.68	0.001	S_16	16	77170
309.408	0.001	R_1	101	77352
311.032	0.001	S_4	4	77758
312.556	0.001	S_8	8	78139
313.152	0.001	R_2	102	78288
314.608	0.001	S_4	4	78652
316.128	0.001	S_16	16	79032
316.712	0.001	R_1	101	79178
318.072	0.001	S_4	4	79518
319.588	0.001	S_8	8	79897
320.128	0.001	R_1	101	80032
321.424	0.001	S_4	4	80356
322.952	0.001	S_16	16	80738
323.976	0.001	R_2	102	80994
325.58	0.001	S_4	4	81395
327.1	0.001	S_8	8	81775
328.064	0.001	R_2	102	82016
331.412	0.001	S_4	4	82853
332.928	0.001	S_16	16	83232
334.632	0.001	R_1	101	83658
335.964	0.001	S_4	4	83991
337.488	0.001	S_8	8	84372
338.656	0.001	R_2	102	84664
340.032	0.001	S_4	4	85008
341.548	0.001	S_16	16	85387
342.12	0.001	R_1	101	85530
343.288	0.001	S_4	4	85822
344.808	0.001	S_16	16	86202
345.544	0.001	R_1	101	86386
346.888	0.001	S_4	4	86722
348.408	0.001	S_16	16	87102
349.08	0.001	R_2	102	87270
350.556	0.001	S_4	4	87639
352.08	0.001	S_8	8	88020
352.616	0.001	R_2	102	88154
354.064	0.001	S_4	4	88516
355.592	0.001	S_16	16	88898
356.272	0.001	R_1	101	89068
357.664	0.001	S_4	4	89416
359.192	0.001	S_16	16	89798
359.784	0.001	R_1	101	89946
361.204	0.001	S_4	4	90301
362.732	0.001	S_16	16	90683
363.904	0.001	R_1	101	90976
365.352	0.001	S_4	4	91338
366.872	0.001	S_8	8	91718
367.624	0.001	R_1	101	91906
369.176	0.001	S_4	4	92294
370.692	0.001	S_16	16	92673
371.348	0.001	R_1	101	92837
372.812	0.001	S_4	4	93203
374.34	0.001	S_16	16	93585
375.096	0.001	R_1	101	93774
376.576	0.001	S_4	4	94144
378.096	0.001	S_8	8	94524
378.76	0.001	R_2	102	94690
380.324	0.001	S_4	4	95081
381.852	0.001	S_16	16	95463
382.4	0.001	R_1	101	95600
383.648	0.001	S_4	4	95912
385.172	0.001	S_16	16	96293
385.872	0.001	R_2	102	96468
387.44	0.001	S_4	4	96860
388.96	0.001	S_16	16	97240
389.552	0.001	R_1	101	97388
391.016	0.001	S_4	4	97754
392.544	0.001	S_8	8	98136
393.392	0.001	R_1	101	98348
394.584	0.001	S_4	4	98646
396.1	0.001	S_16	16	99025
396.784	0.001	R_2	102	99196
398.264	0.001	S_4	4	99566
399.784	0.001	S_16	16	99946
400.324	0.001	R_1	101	100081
401.756	0.001	S_4	4	100439
403.268	0.001	S_16	16	100817
403.8	0.001	R_1	101	100950
407.528	0.001	S_4	4	101882
409.052	0.001	S_8	8	102263
409.972	0.001	R_2	102	102493
411.52	0.001	S_4	4	102880
413.04	0.001	S_8	8	103260
413.68	0.001	R_2	102	103420
414.896	0.001	S_4	4	103724
416.412	0.001	S_16	16	104103
416.96	0.001	R_1	101	104240
418.224	0.001	S_4	4	104556
419.74	0.001	S_16	16	104935
420.256	0.001	R_1	101	105064
421.832	0.001	S_4	4	105458
423.36	0.001	S_16	16	105840
423.92	0.001	R_1	101	105980
425.336	0.001	S_4	4	106334
426.852	0.001	S_8	8	106713
427.42	0.001	R_2	102	106855
428.64	0.001	S_4	4	107160
430.16	0.001	S_8	8	107540
430.484	0.001	R_1	101	107621
432.036	0.001	S_4	4	108009
433.564	0.001	S_8	8	108391
434.06	0.001	R_2	102	108515
435.34	0.001	S_4	4	108835
436.864	0.001	S_8	8	109216
437.468	0.001	R_1	101	109367
438.992	0.001	S_4	4	109748
440.512	0.001	S_16	16	110128
441.228	0.001	R_2	102	110307
442.568	0.001	S_4	4	110642
444.088	0.001	S_16	16	111022
444.936	0.001	R_1	101	111234
446.156	0.001	S_4	4	111539
447.672	0.001	S_16	16	111918
448.588	0.001	R_2	102	112147
449.944	0.001	S_4	4	112486
451.464	0.001	S_16	16	112866
452.336	0.001	R_2	102	113084
453.892	0.001	S_4	4	113473
455.412	0.001	S_16	16	113853
455.836	0.001	R_1	101	113959
457.096	0.001	S_4	4	114274
458.612	0.001	S_8	8	114653
459.324	0.001	R_1	101	114831
460.824	0.001	S_4	4	115206
462.34	0.001	S_16	16	115585
462.908	0.001	R_1	101	115727
464.552	0.001	S_4	4	116138
466.084	0.001	S_8	8	116521
466.948	0.001	R_1	101	116737
468.528	0.001	S_4	4	117132
470.044	0.001	S_8	8	117511
470.532	0.001	R_2	102	117633
472.092	0.001	S_4	4	118023
473.612	0.001	S_16	16	118403
474.636	0.001	R_2	102	118659
476.208	0.001	S_4	4	119052
477.732	0.001	S_16	16	119433
478.316	0.001	R_1	101	119579
481.86	0.001	S_4	4	120465
483.384	0.001	S_8	8	120846
484.092	0.001	R_2	102	121023
485.7	0.001	S_4	4	121425
487.224	0.001	S_8	8	121806
487.724	0.001	R_2	102	121931
489.356	0.001	S_4	4	122339
490.872	0.001	S_8	8	122718
491.316	0.001	R_1	101	122829
492.696	0.001	S_4	4	123174
494.212	0.001	S_16	16	123553
494.74	0.001	R_1	101	123685
496.3	0.001	S_4	4	124075
497.82	0.001	S_8	8	124455
498.828	0.001	R_1	101	124707
500.488	0.001	S_4	4	125122
502.012	0.001	S_8	8	125503
502.98	0.001	R_1	101	125745
504.408	0.001	S_4	4	126102
505.932	0.001	S_8	8	126483
506.588	0.001	R_2	102	126647
507.808	0.001	S_4	4	126952
509.324	0.001	S_16	16	127331
509.892	0.001	R_1	101	127473
511.12	0.001	S_4	4	127780
512.644	0.001	S_16	16	128161
513.492	0.001	R_2	102	128373
514.764	0.001	S_4	4	128691
516.284	0.001	S_8	8	129071
520.9	0.001	S_4	4	130225
522.42	0.001	S_16	16	130605
523.78	0.001	R_2	102	130945
525.156	0.001	S_4	4	131289
526.672	0.001	S_8	8	131668
528.452	0.001	R_1	101	132113
530.088	0.001	S_4	4	132522
531.616	0.001	S_8	8	132904
532.252	0.001	R_2	102	133063
533.484	0.001	S_4	4	133371
535.0	0.001	S_16	16	133750
536.18	0.001	R_2	102	134045
537.624	0.001	S_4	4	134406
539.144	0.001	S_16	16	134786
539.66	0.001	R_1	101	134915
541.224	0.001	S_4	4	135306
542.74	0.001	S_16	16	135685
543.284	0.001	R_1	101	135821
544.684	0.001	S_4	4	136171
546.204	0.001	S_16	16	136551
546.78	0.001	R_1	101	136695
548.296	0.001	S_4	4	137074
549.808	0.001	S_8	8	137452
550.868	0.001	R_1	101	137717
552.28	0.001	S_4	4	138070
553.8	0.001	S_16	16	138450
