thisN,thisTrialN,thisRepN,block_order,block_idx,block_cond,exp,key_resp.keys,key_resp.rt,key_resp.duration,key_respInstr_3.keys,key_respInstr_2.keys,keyMotionResp_2.keys,keyMotionResp_2.corr,keyMotionResp_2.rt,keyMotionResp_2.duration,key_respInstr_2.rt,key_respInstr_2.duration,key_respInstr_3.rt,key_respInstr_3.duration,trialsRDK_test.thisRepN,trialsRDK_test.thisTrialN,trialsRDK_test.thisN,trialsRDK_test.thisIndex,RDKtraining.thisRepN,RDKtraining.thisTrialN,RDKtraining.thisN,RDKtraining.thisIndex,loopBlockSensitivity.thisRepN,loopBlockSensitivity.thisTrialN,loopBlockSensitivity.thisN,loopBlockSensitivity.thisIndex,loopLowPriorBlocks.thisRepN,loopLowPriorBlocks.thisTrialN,loopLowPriorBlocks.thisN,loopLowPriorBlocks.thisIndex,loopLowPriorTrials.thisRepN,loopLowPriorTrials.thisTrialN,loopLowPriorTrials.thisN,loopLowPriorTrials.thisIndex,thisRow.t,notes,cueAss,cueHz,block,motionDir,prior,thresh75,trialCoh,trialCoh_level,BiasFirst,cuetarget_cont,counterbalancing.started,counterbalancing.stopped,FUNCTIONS_VARIABLES.started,FUNCTIONS_VARIABLES.stopped,IntroExperiment.started,textIntroExp.started,keyIntroExp.started,IntroExperiment.stopped,keyIntroExp.keys,keyIntroExp.rt,keyIntroExp.duration,Randomization_training.started,Randomization_training.stopped,IntroTrainingDifficult.started,IntroTrainingDifficult.stopped,RDKtraining.keyIntroTraining.keys,ITI.started,ITI.stopped,AuditoryCue_qest.started,soundCue_quest.started,fixCross_quest_2.started,soundCue_quest.stopped,fixCross_quest_2.stopped,AuditoryCue_qest.stopped,RDK_training.started,dots_training.started,fixCross_training.started,textTraining.started,keyMotionResp_training.started,RDK_training.stopped,RDKtraining.keyMotionResp_training.keys,RDKtraining.keyMotionResp_training.corr,RDKtraining.keyMotionResp_training.rt,RDKtraining.keyMotionResp_training.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,textIntroTraining.started,keyIntroTraining.started,RDKtraining.keyIntroTraining.rt,RDKtraining.keyIntroTraining.duration,dots_training.stopped,fixCross_training.stopped,textTraining.stopped,keyMotionResp_training.stopped,end_training.started,textEndTraining.started,textFinalFeedback.started,textEndTraining.stopped,textFinalFeedback.stopped,end_training.stopped,RDK_TaskInstructions.started,textRDK_taskInstructions.started,keyRDK_taskInstructions.started,RDK_TaskInstructions.stopped,keyRDK_taskInstructions.keys,keyRDK_taskInstructions.rt,keyRDK_taskInstructions.duration,QUEST.label,QUEST.startVal,QUEST.startValSd,QUEST.pThreshold,QUEST.method,QUEST.beta,QUEST.delta,QUEST.gamma,QUEST.grain,QUEST.minVal,QUEST.maxVal,QUEST.thisIndex,QUEST.thisRepN,QUEST.thisN,QUEST.direction,QUEST.stepSize,QUEST.stepType,QUEST.intensity,Randomization_quest.started,Randomization_quest.stopped,fix.started,fixCross1.started,fixCross1.stopped,fix.stopped,RDK_quest.started,dots_quest.started,fixCross_quest.started,keyMotionResp_quest.started,RDK_quest.stopped,QUEST.response,dots_quest.stopped,fixCross_quest.stopped,keyMotionResp_quest.stopped,QUEST_transition.started,testQUEST_instruction.started,keyQUESTtransition.started,QUEST_transition.stopped,keyQUESTtransition.keys,keyQUESTtransition.rt,keyQUESTtransition.duration,QUEST_II.label,QUEST_II.startVal,QUEST_II.startValSd,QUEST_II.pThreshold,QUEST_II.method,QUEST_II.beta,QUEST_II.delta,QUEST_II.gamma,QUEST_II.grain,QUEST_II.minVal,QUEST_II.maxVal,QUEST_II.thisIndex,QUEST_II.thisRepN,QUEST_II.thisN,QUEST_II.direction,QUEST_II.stepSize,QUEST_II.stepType,QUEST_II.intensity,Randomization_quest2.started,Randomization_quest2.stopped,QUEST_II.response,QUESTlog.started,QUESTlog.stopped,InstrLowLevel.started,textInstrLowLevel.started,key_respInstrLowLevel.started,InstrLowLevel.stopped,key_respInstrLowLevel.keys,key_respInstrLowLevel.rt,key_respInstrLowLevel.duration,blockPseudomization.started,blockPseudomization.stopped,InstrExpSwitch.started,textInstrExpSwitch.started,key_resp.started,InstrExpSwitch.stopped,loopLowPriorBlocks.key_resp.keys,loopLowPriorBlocks.key_resp.rt,loopLowPriorBlocks.key_resp.duration,SwitchGlasses.started,SwitchGlasses.stopped,loopLowPriorBlocks.key_respInstr_3.keys,blockInstructions.started,blockInstructions.stopped,loopLowPriorBlocks.key_respInstr_2.keys,blank500.started,text.started,text.stopped,blank500.stopped,trialLowPseudomization.started,trialLowPseudomization.stopped,AuditoryCue.started,soundCue.started,fixCross.started,soundCue.stopped,fixCross.stopped,AuditoryCue.stopped,RDK.started,dotsRDK.started,fixCross2.started,keyMotionResp_2.started,RDK.stopped,loopLowPriorTrials.keyMotionResp_2.keys,loopLowPriorTrials.keyMotionResp_2.corr,loopLowPriorTrials.keyMotionResp_2.rt,loopLowPriorTrials.keyMotionResp_2.duration,logg.started,logg.stopped,textblockInstruction.started,key_respInstr_2.started,loopLowPriorBlocks.key_respInstr_2.rt,loopLowPriorBlocks.key_respInstr_2.duration,textGlassesInstr.started,key_respInstr_3.started,loopLowPriorBlocks.key_respInstr_3.rt,loopLowPriorBlocks.key_respInstr_3.duration,Goodbye.started,textGoodbye.started,key_respEndScreen.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,filename,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05397390000007363,0.05405259999997725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-09-09_09h14.20.828,RDKdeutsch,2024.2.4,240,2025-09-09 09h14.33.141727 +0200,sub-002_RDKdeutsch_highleft,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05408280000006016,0.054127699999980905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-09-09_09h14.20.828,RDKdeutsch,2024.2.4,240,2025-09-09 09h14.33.141727 +0200,sub-002_RDKdeutsch_highleft,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05481510000004164,0.06330020000007153,0.06330020000007153,2797.5979281,space,2797.5254738,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-09-09_09h14.20.828,RDKdeutsch,2024.2.4,240,2025-09-09 09h14.33.141727 +0200,sub-002_RDKdeutsch_highleft,
47,0,47,,,,,,,,,,,,,,,,,,,,,,47,0,47,0,,,,,,,,,,,,,3325.3239862000005,,,,,,,,,,,,,,,,,,,,,,,3325.3208877,3325.3209377,3325.3209606000005,3325.3209879,None,3325.3210311,3326.4615342,3326.6177650000004,3326.628050466667,3326.6200243,3327.1854387999997,3327.1854387999997,3327.1324802000004,3327.1826952000006,3327.1854387999997,3327.1854387999997,3327.1854387999997,3327.1854387999997,3330.1691465999997,None,0,0.8324180999998134,None,3330.171417,3330.1732914,3331.6681464999997,3331.6560642,2928.7948667,2928.7948667,238.37023950000003,None,3330.1732914,3330.1732914,3330.1732914,3330.1732914,3331.664599,3331.6681464999997,3331.6681464999997,3336.6549084000003,3336.6549084000003,3336.6512517000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-09-09_09h14.20.828,RDKdeutsch,2024.2.4,240,2025-09-09 09h14.33.141727 +0200,sub-002_RDKdeutsch_highleft,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3336.6513070000005,3336.6591258000003,3336.6591258000003,3358.863248,space,22.20183850000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-09-09_09h14.20.828,RDKdeutsch,2024.2.4,240,2025-09-09 09h14.33.141727 +0200,sub-002_RDKdeutsch_highleft,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3359.4913786,,,,,,,,,,,,,,,,,,,,,,,,,,,,3359.4892858,3360.775019,3360.9311408999997,3360.9415595666674,3360.9334410000006,3361.4464316999997,3361.4464316999997,3361.4424703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questCoh,0.4,0.3,0.75,quantile,3.5,0.05,0.5,0.01,0.01,0.4,0,1,0,start,4,lin,0.4,3359.4890831,3359.4892299999997,3361.4438289000004,3361.4464316999997,3362.4959316,3362.4416326000005,3362.4924446,3362.4959316,3362.4959316,3362.4959316,3363.4703839,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-09-09_09h14.20.828,RDKdeutsch,2024.2.4,240,2025-09-09 09h14.33.141727 +0200,sub-002_RDKdeutsch_highleft,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3363.4742372000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,3363.4714441,3364.4914424000003,3364.6486962000004,3364.657932966667,3364.6515477,3365.1854436,3365.1854436,3365.1825417000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questCoh,0.4,0.3,0.75,quantile,3.5,0.05,0.5,0.01,0.01,0.4,0,2,1,start,4,lin,0.3641647412111767,3363.4713451000002,3363.4714004,3365.1825968999997,3365.1854436,3366.2311745,3366.1779665,3366.2283647,3366.2311745,3366.2311745,3366.2311745,3366.9416674,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-09-09_09h14.20.828,RDKdeutsch,2024.2.4,240,2025-09-09 09h14.33.141727 +0200,sub-002_RDKdeutsch_highleft,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3366.9485099,,,,,,,,,,,,,,,,,,,,,,,,,,,,3366.9422425,3368.2319184000003,3368.3856263000002,3368.3984491666674,3368.3876092000005,3368.8941153,3368.8941153,3368.8924951000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questCoh,0.4,0.3,0.75,quantile,3.5,0.05,0.5,0.01,0.01,0.4,0,3,2,start,4,lin,0.2924843232879477,3366.9421538,3366.9422029,3368.8925423000005,3368.8941153,3369.9391290999997,3369.8855942000005,3369.9364486,3369.9391290999997,3369.9391290999997,3369.9391290999997,3370.7438956,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-09-09_09h14.20.828,RDKdeutsch,2024.2.4,240,2025-09-09 09h14.33.141727 +0200,sub-002_RDKdeutsch_highleft,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3370.7477246000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,3370.744445,3372.1392646,3372.2921394,3372.3058232666667,3372.2943312,3372.8043356000003,3372.8043356000003,3372.8024806999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questCoh,0.4,0.3,0.75,quantile,3.5,0.05,0.5,0.01,0.01,0.4,0,4,3,start,4,lin,0.23190654348389747,3370.7443516999997,3370.7444050999998,3372.8025266,3372.8043356000003,3373.8513301,3373.7971954,3373.848483,3373.8513301,3373.8513301,3373.8513301,3376.1844214,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-09-09_09h14.20.828,RDKdeutsch,2024.2.4,240,2025-09-09 09h14.33.141727 +0200,sub-002_RDKdeutsch_highleft,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3376.1882138000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,3376.1849755999997,3377.567222,3377.7226764,3377.733776966667,3377.7248492000003,3378.2344418,3378.2344418,3378.2324904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questCoh,0.4,0.3,0.75,quantile,3.5,0.05,0.5,0.01,0.01,0.4,0,5,4,start,4,lin,0.1793629098810138,3376.1848864999997,3376.1849363000006,3378.2325353,3378.2344418,3379.2830058000004,3379.2292924,3379.2802133,3379.2830058000004,3379.2830058000004,3379.2830058000004,3380.6084431000004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-002,001,2025-09-09_09h14.20.828,RDKdeutsch,2024.2.4,240,2025-09-09 09h14.33.141727 +0200,sub-002_RDKdeutsch_highleft,
