thisN,thisTrialN,thisRepN,block_order,block_idx,block_cond,exp,key_resp.keys,key_respInstr_3.keys,key_respInstr_2.keys,keyMotionResp_2.keys,keyMotionResp_2.corr,keyMotionResp_2.rt,keyMotionResp_2.duration,key_respInstr_2.rt,key_respInstr_2.duration,key_resp.rt,key_resp.duration,key_respInstr_3.rt,key_respInstr_3.duration,trialsRDK_test.thisRepN,trialsRDK_test.thisTrialN,trialsRDK_test.thisN,trialsRDK_test.thisIndex,RDKtraining.thisRepN,RDKtraining.thisTrialN,RDKtraining.thisN,RDKtraining.thisIndex,loopBlockSensitivity.thisRepN,loopBlockSensitivity.thisTrialN,loopBlockSensitivity.thisN,loopBlockSensitivity.thisIndex,loopLowPriorBlocks.thisRepN,loopLowPriorBlocks.thisTrialN,loopLowPriorBlocks.thisN,loopLowPriorBlocks.thisIndex,loopLowPriorTrials.thisRepN,loopLowPriorTrials.thisTrialN,loopLowPriorTrials.thisN,loopLowPriorTrials.thisIndex,thisRow.t,notes,cueAss,cueHz,block,motionDir,prior,thresh75,trialCoh,trialCoh_level,BiasFirst,cuetarget_cont,counterbalancing.started,counterbalancing.stopped,FUNCTIONS_VARIABLES.started,FUNCTIONS_VARIABLES.stopped,IntroExperiment.started,textIntroExp.started,keyIntroExp.started,IntroExperiment.stopped,keyIntroExp.keys,keyIntroExp.rt,keyIntroExp.duration,Randomization_training.started,Randomization_training.stopped,IntroTrainingDifficult.started,IntroTrainingDifficult.stopped,RDKtraining.keyIntroTraining.keys,ITI.started,ITI.stopped,AuditoryCue_qest.started,soundCue_quest.started,fixCross_quest_2.started,soundCue_quest.stopped,fixCross_quest_2.stopped,AuditoryCue_qest.stopped,RDK_training.started,dots_training.started,fixCross_training.started,textTraining.started,keyMotionResp_training.started,RDK_training.stopped,RDKtraining.keyMotionResp_training.keys,RDKtraining.keyMotionResp_training.corr,RDKtraining.keyMotionResp_training.rt,RDKtraining.keyMotionResp_training.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,textIntroTraining.started,keyIntroTraining.started,RDKtraining.keyIntroTraining.rt,RDKtraining.keyIntroTraining.duration,end_training.started,textEndTraining.started,textFinalFeedback.started,textEndTraining.stopped,textFinalFeedback.stopped,end_training.stopped,RDK_TaskInstructions.started,textRDK_taskInstructions.started,keyRDK_taskInstructions.started,RDK_TaskInstructions.stopped,keyRDK_taskInstructions.keys,keyRDK_taskInstructions.rt,keyRDK_taskInstructions.duration,QUEST.label,QUEST.startVal,QUEST.startValSd,QUEST.pThreshold,QUEST.method,QUEST.beta,QUEST.delta,QUEST.gamma,QUEST.grain,QUEST.minVal,QUEST.maxVal,QUEST.thisIndex,QUEST.thisRepN,QUEST.thisN,QUEST.direction,QUEST.stepSize,QUEST.stepType,QUEST.intensity,Randomization_quest.started,Randomization_quest.stopped,fix.started,fixCross1.started,fixCross1.stopped,fix.stopped,RDK_quest.started,dots_quest.started,fixCross_quest.started,keyMotionResp_quest.started,RDK_quest.stopped,QUEST.response,QUEST_transition.started,testQUEST_instruction.started,keyQUESTtransition.started,QUEST_transition.stopped,keyQUESTtransition.keys,keyQUESTtransition.rt,keyQUESTtransition.duration,QUEST_II.label,QUEST_II.startVal,QUEST_II.startValSd,QUEST_II.pThreshold,QUEST_II.method,QUEST_II.beta,QUEST_II.delta,QUEST_II.gamma,QUEST_II.grain,QUEST_II.minVal,QUEST_II.maxVal,QUEST_II.thisIndex,QUEST_II.thisRepN,QUEST_II.thisN,QUEST_II.direction,QUEST_II.stepSize,QUEST_II.stepType,QUEST_II.intensity,Randomization_quest2.started,Randomization_quest2.stopped,QUEST_II.response,QUESTlog.started,QUESTlog.stopped,InstrLowLevel.started,textInstrLowLevel.started,key_respInstrLowLevel.started,InstrLowLevel.stopped,key_respInstrLowLevel.keys,key_respInstrLowLevel.rt,key_respInstrLowLevel.duration,blockPseudomization.started,blockPseudomization.stopped,InstrExpSwitch.started,InstrExpSwitch.stopped,loopLowPriorBlocks.key_resp.keys,SwitchGlasses.started,SwitchGlasses.stopped,loopLowPriorBlocks.key_respInstr_3.keys,blockInstructions.started,blockInstructions.stopped,loopLowPriorBlocks.key_respInstr_2.keys,blank500.started,text.started,text.stopped,blank500.stopped,trialLowPseudomization.started,trialLowPseudomization.stopped,AuditoryCue.started,soundCue.started,fixCross.started,soundCue.stopped,fixCross.stopped,AuditoryCue.stopped,RDK.started,dotsRDK.started,fixCross2.started,keyMotionResp_2.started,RDK.stopped,loopLowPriorTrials.keyMotionResp_2.keys,loopLowPriorTrials.keyMotionResp_2.corr,loopLowPriorTrials.keyMotionResp_2.rt,loopLowPriorTrials.keyMotionResp_2.duration,logg.started,logg.stopped,textblockInstruction.started,key_respInstr_2.started,loopLowPriorBlocks.key_respInstr_2.rt,loopLowPriorBlocks.key_respInstr_2.duration,textInstrExpSwitch.started,key_resp.started,loopLowPriorBlocks.key_resp.rt,loopLowPriorBlocks.key_resp.duration,textGlassesInstr.started,key_respInstr_3.started,loopLowPriorBlocks.key_respInstr_3.rt,loopLowPriorBlocks.key_respInstr_3.duration,Goodbye.started,textGoodbye.started,key_respEndScreen.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,filename
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0213431,0.021421100000225124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-05-25_10h30.40.029,RDKdeutsch,04.02.24,240,2025-05-25 10h30.44.055653 +0200,sub-003_RDKdeutsch_lowleft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021449800000482355,0.0214934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-05-25_10h30.40.029,RDKdeutsch,04.02.24,240,2025-05-25 10h30.44.055653 +0200,sub-003_RDKdeutsch_lowleft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0216749,0.026308900000003632,0.026308900000003632,74.73412530000041,space,74.70138680000036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-05-25_10h30.40.029,RDKdeutsch,04.02.24,240,2025-05-25 10h30.44.055653 +0200,sub-003_RDKdeutsch_lowleft
41,0,41,,,,,,,,,,,,,,,,,,,,,,41,0,41,0,,,,,,,,,,,,,489.42195040000024,,,,,,,,,,,,,,,,,,,,,,,489.4180681000007,489.41811469999993,489.4181401000005,489.41816910000034,None,489.4182113000006,490.6927893000002,490.8475722000003,490.85935376666714,490.85085270000036,491.4215758999999,491.4215758999999,491.36544200000026,491.4169978,491.4215758999999,491.4215758999999,491.4215758999999,491.4215758999999,491.9511425999999,left,1,0.5292256000002453,None,491.9512162000001,491.95482790000005,493.4502959000001,493.43804140000066,215.6008838000007,215.6008838000007,154.13188009999976,None,493.4451460999999,493.4502959000001,493.4502959000001,498.4367153000003,498.4367153000003,498.43282440000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-05-25_10h30.40.029,RDKdeutsch,04.02.24,240,2025-05-25 10h30.44.055653 +0200,sub-003_RDKdeutsch_lowleft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.43288329999996,498.44087990000025,498.44087990000025,498.54520820000016,space,0.10193279999930382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-05-25_10h30.40.029,RDKdeutsch,04.02.24,240,2025-05-25 10h30.44.055653 +0200,sub-003_RDKdeutsch_lowleft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.09909940000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.09496130000025,500.3155852,500.4693207999999,500.48214816666734,500.4738932,500.99039919999996,500.99039919999996,500.98543490000066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questCoh,0.4,0.3,0.75,quantile,3.5,0.05,0.5,0.01,0.01,0.4,0,1,0,start,4,lin,0.4,499.09476170000016,499.0949061000001,500.9868827999999,500.99039919999996,502.0401541000001,501.9860656000001,502.03650130000005,502.0401541000001,502.0401541000001,502.0401541000001,502.7193754,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-05-25_10h30.40.029,RDKdeutsch,04.02.24,240,2025-05-25 10h30.44.055653 +0200,sub-003_RDKdeutsch_lowleft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.72329360000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.7199326,503.8482045999999,504.0031757000006,504.0147698666666,504.00639480000063,504.51877200000035,504.51877200000035,504.5154370999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questCoh,0.4,0.3,0.75,quantile,3.5,0.05,0.5,0.01,0.01,0.4,0,2,1,start,4,lin,0.3641647412111767,502.7198427000003,502.71989250000024,504.5154803000005,504.51877200000035,505.56884979999995,505.5146242999999,505.56491000000005,505.56884979999995,505.56884979999995,505.56884979999995,506.13125110000055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-05-25_10h30.40.029,RDKdeutsch,04.02.24,240,2025-05-25 10h30.44.055653 +0200,sub-003_RDKdeutsch_lowleft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.13512850000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.1317641000005,507.1725068000005,507.32525540000006,507.3390714666672,507.33066810000037,507.85151570000016,507.85151570000016,507.8455754000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questCoh,0.4,0.3,0.75,quantile,3.5,0.05,0.5,0.01,0.01,0.4,0,3,2,start,4,lin,0.2924843232879477,506.1316789000002,506.13172699999996,507.84562020000067,507.85151570000016,508.90948090000074,508.8514171000006,508.9035276000004,508.90948090000074,508.90948090000074,508.90948090000074,509.6266789000001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-05-25_10h30.40.029,RDKdeutsch,04.02.24,240,2025-05-25 10h30.44.055653 +0200,sub-003_RDKdeutsch_lowleft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.63066530000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.6272251999999,511.0343831,511.1890762000003,511.2009382666671,511.19117950000054,511.69729540000026,511.69729540000026,511.6954491000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questCoh,0.4,0.3,0.75,quantile,3.5,0.05,0.5,0.01,0.01,0.4,0,4,3,start,4,lin,0.4,509.62713669999994,509.6271848000006,511.6954906000001,511.69729540000026,512.7459360000003,512.6925969000004,512.7429366000006,512.7459360000003,512.7459360000003,512.7459360000003,513.3549237000007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-05-25_10h30.40.029,RDKdeutsch,04.02.24,240,2025-05-25 10h30.44.055653 +0200,sub-003_RDKdeutsch_lowleft
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.3588766000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.3554518999999,514.8168246000005,514.9698871999999,514.9833608666673,514.9777221000004,515.4873710000002,515.4873710000002,515.4855127999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,questCoh,0.4,0.3,0.75,quantile,3.5,0.05,0.5,0.01,0.01,0.4,0,5,4,start,4,lin,0.4,513.3553634,513.3554128000005,515.4855604000004,515.4873710000002,516.5327084999999,516.4790693000004,516.5298769000001,516.5327084999999,516.5327084999999,516.5327084999999,517.0584265000007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-003,001,2025-05-25_10h30.40.029,RDKdeutsch,04.02.24,240,2025-05-25 10h30.44.055653 +0200,sub-003_RDKdeutsch_lowleft
